id,name,height,weight,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,base_stat_total
922,pawmo,4,65,electric,fighting,60,75,40,50,40,85,350
923,pawmot,9,410,electric,fighting,70,115,70,70,60,105,490
924,tandemaus,3,18,normal,,50,50,45,40,45,75,305
925,maushold-family-of-four,3,28,normal,,74,75,70,65,75,111,470
926,fidough,3,109,fairy,,37,55,70,30,55,65,312
927,dachsbun,5,149,fairy,,57,80,115,50,80,95,477
928,smoliv,3,65,grass,normal,41,35,45,58,51,30,260
929,dolliv,6,119,grass,normal,52,53,60,78,78,33,354
930,arboliva,14,482,grass,normal,78,69,90,125,109,39,510
931,squawkabilly-green-plumage,6,24,normal,flying,82,96,51,45,51,92,417
932,nacli,4,160,rock,,55,55,75,35,35,25,280
933,naclstack,6,1050,rock,,60,60,100,35,65,35,355
934,garganacl,23,2400,rock,,100,100,130,45,90,35,500
935,charcadet,6,105,fire,,40,50,40,50,40,35,255
936,armarouge,15,850,fire,psychic,85,60,100,125,80,75,525
937,ceruledge,16,620,fire,ghost,75,125,80,60,100,85,525
938,tadbulb,3,4,electric,,61,31,41,59,35,45,272
939,bellibolt,12,1130,electric,,109,64,91,103,83,45,495
940,wattrel,4,36,electric,flying,40,40,35,55,40,70,280
941,kilowattrel,14,386,electric,flying,70,70,60,105,60,125,490
942,maschiff,5,160,dark,,60,78,60,40,51,51,340
943,mabosstiff,11,610,dark,,80,120,90,60,70,85,505
944,shroodle,2,7,poison,normal,40,65,35,40,35,75,290
945,grafaiai,7,272,poison,normal,63,95,65,80,72,110,485
946,bramblin,6,6,grass,ghost,40,65,30,45,35,60,275
947,brambleghast,12,60,grass,ghost,55,115,70,80,70,90,480
948,toedscool,9,330,ground,grass,40,40,35,50,100,70,335
949,toedscruel,19,580,ground,grass,80,70,65,80,120,100,515
950,klawf,13,790,rock,,70,100,115,35,55,75,450
951,capsakid,3,30,grass,,50,62,40,62,40,50,304
952,scovillain,9,150,grass,fire,65,108,65,108,65,75,486
953,rellor,2,10,bug,,41,50,60,31,58,30,270
954,rabsca,3,35,bug,psychic,75,50,85,115,100,45,470
955,flittle,2,15,psychic,,30,35,30,55,30,75,255
956,espathra,19,900,psychic,,95,60,60,101,60,105,481
957,tinkatink,4,89,fairy,steel,50,45,45,35,64,58,297
958,tinkatuff,7,591,fairy,steel,65,55,55,45,82,78,380
959,tinkaton,7,1128,fairy,steel,85,75,77,70,105,94,506
960,wiglett,12,18,water,,10,55,25,35,25,95,245
961,wugtrio,12,54,water,,35,100,50,50,70,120,425
962,bombirdier,15,429,flying,dark,70,103,85,60,85,82,485
963,finizen,13,602,water,,70,45,40,45,40,75,315
964,palafin-zero,13,602,water,,100,70,72,53,62,100,457
965,varoom,10,350,steel,poison,45,70,63,30,45,47,300
966,revavroom,18,1200,steel,poison,80,119,90,54,67,90,500
967,cyclizar,16,630,dragon,normal,70,95,65,85,65,121,501
968,orthworm,25,3100,steel,,70,85,145,60,55,65,480
969,glimmet,7,80,rock,poison,48,35,42,105,60,60,350
970,glimmora,15,450,rock,poison,83,55,90,130,81,86,525
971,greavard,6,350,ghost,,50,61,60,30,55,34,290
972,houndstone,20,150,ghost,,72,101,100,50,97,68,488
973,flamigo,16,370,flying,fighting,82,115,74,75,64,90,500
974,cetoddle,12,450,ice,,108,68,45,30,40,43,334
975,cetitan,45,7000,ice,,170,113,65,45,55,73,521
976,veluza,25,900,water,psychic,90,102,73,78,65,70,478
977,dondozo,120,2200,water,,150,100,115,65,65,35,530
978,tatsugiri-curly,3,80,dragon,water,68,50,60,120,95,82,475
979,annihilape,12,560,fighting,ghost,110,115,80,50,90,90,535
980,clodsire,18,2230,poison,ground,130,75,60,45,100,20,430
981,farigiraf,32,1600,normal,psychic,120,90,70,110,70,60,520
982,dudunsparce-two-segment,36,392,normal,,125,100,80,85,75,55,520
983,kingambit,20,1200,dark,steel,100,135,120,60,85,50,550
984,great-tusk,22,3200,ground,fighting,115,131,131,53,53,87,570
985,scream-tail,12,80,fairy,psychic,115,65,99,65,115,111,570
986,brute-bonnet,12,210,grass,dark,111,127,99,79,99,55,570
987,flutter-mane,14,40,ghost,fairy,55,55,55,135,135,135,570
988,slither-wing,32,920,bug,fighting,85,135,79,85,105,81,570
989,sandy-shocks,23,600,electric,ground,85,81,97,121,85,101,570
990,iron-treads,9,2400,ground,steel,90,112,120,72,70,106,570
991,iron-bundle,6,110,ice,water,56,80,114,124,60,136,570
992,iron-hands,18,3807,fighting,electric,154,140,108,50,68,50,570
993,iron-jugulis,13,1110,dark,flying,94,80,86,122,80,108,570
994,iron-moth,12,360,fire,poison,80,70,60,140,110,110,570
995,iron-thorns,16,3030,rock,electric,100,134,110,70,84,72,570
996,frigibax,5,170,dragon,ice,65,75,45,35,45,55,320
997,arctibax,8,300,dragon,ice,90,95,66,45,65,62,423
998,baxcalibur,21,2100,dragon,ice,115,145,92,75,86,87,600
999,gimmighoul,3,50,ghost,,45,30,70,75,70,10,300
1000,gholdengo,12,300,steel,ghost,87,60,95,133,91,84,550
1001,wo-chien,15,742,dark,grass,85,85,100,95,135,70,570
1002,chien-pao,19,1522,dark,ice,80,120,80,90,65,135,570
1003,ting-lu,27,6997,dark,ground,155,110,125,55,80,45,570
1004,chi-yu,4,49,dark,fire,55,80,80,135,120,100,570
1005,roaring-moon,20,3800,dragon,dark,105,139,71,55,101,119,590
1006,iron-valiant,14,350,fairy,fighting,74,130,90,120,60,116,590
1007,koraidon,25,3030,fighting,dragon,100,135,115,85,100,135,670
1008,miraidon,35,2400,electric,dragon,100,85,100,135,115,135,670
1009,walking-wake,35,2800,water,dragon,99,83,91,125,83,109,590
1010,iron-leaves,15,1250,grass,psychic,90,130,88,70,108,104,590
1011,dipplin,4,97,grass,dragon,80,80,110,95,80,40,485
1012,poltchageist,1,11,grass,ghost,40,45,45,74,54,50,308
1013,sinistcha,2,22,grass,ghost,71,60,106,121,80,70,508
1014,okidogi,18,922,poison,fighting,88,128,115,58,86,80,555
1015,munkidori,10,122,poison,psychic,88,75,66,130,90,106,555
1016,fezandipiti,14,301,poison,fairy,88,91,82,70,125,99,555
1017,ogerpon,12,398,grass,,80,120,84,60,96,110,550
1018,archaludon,20,600,steel,dragon,90,105,130,125,65,85,600
1019,hydrapple,18,930,grass,dragon,106,80,110,120,80,44,540
1020,gouging-fire,35,5900,fire,dragon,105,115,121,65,93,91,590
1021,raging-bolt,52,4800,electric,dragon,125,73,91,137,89,75,590
1022,iron-boulder,15,1625,rock,psychic,90,120,80,68,108,124,590
1023,iron-crown,16,1560,steel,psychic,90,72,100,122,108,98,590
1024,terapagos,2,65,normal,,90,65,85,65,85,60,450
1025,pecharunt,3,3,poison,ghost,88,88,160,88,88,88,600
